Fecha_Hora,pm2.5
8/01/2024 10:00,32.7164
8/01/2024 11:00,25.635
8/01/2024 12:00,15.9241
8/01/2024 13:00,13.5584
8/01/2024 14:00,18.5925
8/01/2024 15:00,16.1654
8/01/2024 16:00,7.46198
8/01/2024 17:00,6.21693
8/01/2024 18:00,2.47111
8/01/2024 19:00,6.13298
8/01/2024 20:00,8.54006
8/01/2024 21:00,10.9362
8/01/2024 22:00,16.9321
8/01/2024 23:00,19.3007
9/01/2024 0:00,16.8737
9/01/2024 1:00,21.7007
9/01/2024 2:00,16.8708
9/01/2024 3:00,18.0568
9/01/2024 4:00,15.6458
9/01/2024 5:00,16.8334
9/01/2024 6:00,19.2365
9/01/2024 7:00,20.3926
9/01/2024 8:00,27.6351
9/01/2024 9:00,33.717
9/01/2024 10:00,29.0318
9/01/2024 11:00,28.0239
9/01/2024 12:00,20.8151
9/01/2024 13:00,29.6459
9/01/2024 14:00,22.2786
9/01/2024 15:00,26.0155
9/01/2024 16:00,16.061
9/01/2024 17:00,22.1957
9/01/2024 18:00,17.2024
9/01/2024 19:00,15.8874
9/01/2024 20:00,20.6978
9/01/2024 21:00,19.4235
9/01/2024 22:00,25.475
9/01/2024 23:00,21.7887
10/01/2024 0:00,27.7967
10/01/2024 1:00,22.935
10/01/2024 2:00,26.5269
10/01/2024 3:00,26.4985
10/01/2024 4:00,20.463
10/01/2024 5:00,26.4787
10/01/2024 6:00,25.2526
10/01/2024 7:00,25.2181
10/01/2024 8:00,27.6793
10/01/2024 9:00,33.747
10/01/2024 10:00,30.1968
10/01/2024 11:00,16.9624
10/01/2024 12:00,28.0792
10/01/2024 13:00,25.7484
10/01/2024 14:00,18.4945
10/01/2024 15:00,23.5081
10/01/2024 16:00,22.2985
10/01/2024 17:00,4.93653
10/01/2024 18:00,8.60652
10/01/2024 19:00,9.77674
10/01/2024 20:00,17.0443
10/01/2024 21:00,21.8122
10/01/2024 22:00,18.1343
10/01/2024 23:00,24.1248
11/01/2024 0:00,24.1275
11/01/2024 1:00,24.1118
11/01/2024 2:00,16.8526
11/01/2024 3:00,16.8434
11/01/2024 4:00,20.4295
11/01/2024 5:00,16.8093
11/01/2024 6:00,21.5792
11/01/2024 7:00,25.1294
11/01/2024 8:00,25.1519
11/01/2024 9:00,30.0265
11/01/2024 10:00,32.5454
11/01/2024 11:00,26.7081
11/01/2024 12:00,35.4901
11/01/2024 13:00,24.5681
11/01/2024 14:00,22.197
11/01/2024 15:00,27.3428
11/01/2024 16:00,12.3796
11/01/2024 17:00,18.5837
11/01/2024 18:00,11.079
11/01/2024 19:00,13.4718
11/01/2024 20:00,14.6424
11/01/2024 21:00,24.2653
11/01/2024 22:00,21.7561
11/01/2024 23:00,24.11
12/01/2024 0:00,20.483
12/01/2024 1:00,26.4927
12/01/2024 2:00,15.6354
12/01/2024 3:00,22.8706
12/01/2024 4:00,21.6601
12/01/2024 5:00,19.233
12/01/2024 6:00,19.2051
12/01/2024 7:00,29.9804
12/01/2024 8:00,18.0267
12/01/2024 9:00,26.5885
12/01/2024 10:00,27.8793
12/01/2024 12:00,25.6589
12/01/2024 13:00,24.5183
12/01/2024 14:00,22.1719
12/01/2024 15:00,13.6364
12/01/2024 16:00,14.8523
12/01/2024 17:00,12.3502
12/01/2024 18:00,12.2603
12/01/2024 19:00,13.4061
12/01/2024 20:00,10.9201
12/01/2024 21:00,16.9528
12/01/2024 22:00,13.2622
12/01/2024 23:00,9.61504
13/01/2024 0:00,12.0002
13/01/2024 1:00,9.59009
13/01/2024 2:00,10.7906
13/01/2024 3:00,13.1848
13/01/2024 4:00,13.1839
13/01/2024 5:00,14.3786
13/01/2024 6:00,16.7785
13/01/2024 7:00,15.5256
13/01/2024 8:00,21.5656
13/01/2024 9:00,24.0056
13/01/2024 10:00,28.8951
13/01/2024 11:00,30.3147
13/01/2024 12:00,26.8343
13/01/2024 13:00,28.2303
13/01/2024 14:00,18.4938
13/01/2024 15:00,21.0433
13/01/2024 16:00,8.63415
13/01/2024 17:00,13.5085
13/01/2024 18:00,19.5882
13/01/2024 19:00,13.41
13/01/2024 20:00,20.6205
13/01/2024 21:00,21.7496
13/01/2024 22:00,19.264
13/01/2024 23:00,21.6272
14/01/2024 0:00,20.3925
14/01/2024 1:00,19.1872
14/01/2024 2:00,20.406
14/01/2024 3:00,16.8051
14/01/2024 4:00,14.3878
14/01/2024 5:00,9.56711
14/01/2024 6:00,20.2929
14/01/2024 7:00,8.33398
14/01/2024 8:00,20.2759
14/01/2024 9:00,20.3336
14/01/2024 10:00,22.8584
14/01/2024 11:00,19.3882
14/01/2024 12:00,17.0573
14/01/2024 13:00,14.7144
14/01/2024 14:00,19.7378
14/01/2024 15:00,16.1098
14/01/2024 17:00,13.6527
14/01/2024 18:00,6.16186
14/01/2024 19:00,57.4369
14/01/2024 20:00,18.2505
14/01/2024 21:00,15.7328
14/01/2024 22:00,22.9435
14/01/2024 23:00,36.1348
15/01/2024 0:00,18.0478
15/01/2024 1:00,19.236
15/01/2024 2:00,22.8184
15/01/2024 3:00,20.4163
15/01/2024 4:00,21.6189
15/01/2024 5:00,23.9722
15/01/2024 6:00,25.1348
15/01/2024 7:00,25.1351
15/01/2024 8:00,23.9408
15/01/2024 9:00,26.5018
15/01/2024 10:00,32.7781
15/01/2024 11:00,19.5244
15/01/2024 12:00,18.4317
15/01/2024 13:00,12.3854
15/01/2024 14:00,7.47871
15/01/2024 15:00,12.4601
15/01/2024 16:00,8.73425
15/01/2024 17:00,4.97825
15/01/2024 18:00,3.71728
15/01/2024 19:00,1.22821
15/01/2024 20:00,14.6567
15/01/2024 21:00,13.3771
15/01/2024 22:00,15.731
15/01/2024 23:00,19.3281
16/01/2024 0:00,16.8675
16/01/2024 1:00,24.0679
16/01/2024 2:00,20.4452
16/01/2024 3:00,20.3937
16/01/2024 4:00,17.9726
16/01/2024 5:00,16.7351
16/01/2024 6:00,16.7129
16/01/2024 7:00,20.2727
16/01/2024 8:00,20.313
16/01/2024 9:00,27.7923
16/01/2024 10:00,25.4704
16/01/2024 11:00,28.0815
16/01/2024 12:00,16.0238
16/01/2024 13:00,12.4509
16/01/2024 14:00,7.48127
16/01/2024 15:00,7.48684
16/01/2024 16:00,11.2341
16/01/2024 17:00,6.22975
16/01/2024 18:00,2.47591
16/01/2024 19:00,8.59786
16/01/2024 20:00,13.4479
16/01/2024 21:00,23.0987
16/01/2024 22:00,21.802
16/01/2024 23:00,19.3178
17/01/2024 0:00,20.4749
17/01/2024 1:00,26.458
17/01/2024 2:00,25.2153
17/01/2024 3:00,21.5915
17/01/2024 4:00,23.9685
17/01/2024 5:00,21.5253
17/01/2024 6:00,26.2689
